Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;;;;;;;;Indústrias de Transformação;;;;;;;;Construção;;;;;;;;Serviços Industriais de Utilidade Pública;;;;;;;;Industrias Extrativas;;;;;;;;Comércio, Reparação de Veículos Automotores e Motocicletas;;;;;;;;Admistração Pública, Defesa e Seguridade Social;;;;;;;;Transporte, Armazenagem e Correio;;;;;;;;Outros;;;;;;;;Atividade não Informada ou não se Aplica;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;;;
BB;49.906;b1;C;1;;199;BRASILIA;DF;06/2016;370.692.128;174.890;702.950;1.821.050;968.153;5.562.204;688.405;19.153;9.936.805;1.537.356;14.435.862;25.001.150;27.149.941;18.640.416;12.651.930;800.358;100.217.012;437.522;2.366.316;5.481.776;8.535.884;2.203.053;1.294.846;69.459;20.388.857;266.538;1.216.494;2.770.188;6.301.885;1.343.213;1.873.649;3.924.720;17.696.686;10.585;1.224.421;1.254.222;4.253.107;959.022;3.973.173;2.191;11.676.723;2.018.016;14.014.118;23.374.609;18.895.701;10.556.566;4.148.182;630.803;73.637.995;10.128;228.973;718.498;3.677.594;4.765.116;22.661.932;5.296.106;37.358.348;266.888;1.637.923;2.679.076;3.507.923;1.789.173;3.906.943;3.491.354;17.279.280;547.470;5.742.867;10.607.262;12.423.616;5.285.549;3.673.387;706.066;38.986.218;404;24.475;43.489.326
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;06/2016;368.816.124;21.533;204.706;722.452;1.969.930;1.628.526;337.107;13.324;4.897.578;430.686;4.154.144;9.814.407;23.390.036;17.832.403;24.929.596;172.378;80.723.649;0;543.049;125.040;284.747;180.754;201.265;0;1.334.856;0;1.840.383;5.821.244;13.002.007;11.991.208;37.917.272;14.679.049;85.251.163;0;813.809;1.853.478;5.968.079;4.731.644;4.587.542;0;17.954.552;3.802;353.412;925.487;1.889.828;1.225.026;433.428;0;4.830.982;34.556;996.100;2.978.624;7.910.616;7.671.863;22.472.803;7.591.358;49.655.919;1.905.455;4.758.106;4.799.951;10.089.052;10.292.735;28.247.003;3.750.931;63.843.232;387.869;2.069.888;4.050.793;11.147.302;7.586.930;7.956.895;306.674;33.506.352;26.817.840;0;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;06/2016;323.356.954;61.524;1.206.142;1.507.391;2.527.834;1.415.484;136.988;0;6.855.363;864.875;13.758.171;13.145.198;13.944.814;4.904.447;1.941.148;0;48.558.653;286.976;2.502.300;4.408.264;3.876.268;577.700;322.863;303;11.974.673;26.275;860.919;749.891;1.573.761;1.085.677;1.652.506;349.184;6.298.213;49.919;280.701;440.693;258.508;142.509;367.547;0;1.539.877;1.403.776;11.065.227;8.862.461;7.383.094;1.089.988;277.229;191;30.081.965;675;801;441;828;1;0;0;2.746;244.519;2.210.379;2.848.643;4.286.204;1.148.753;638.957;18.867;11.396.322;2.174.803;5.580.681;5.074.299;6.317.458;1.849.625;1.797.215;5.983;22.800.063;42.749;64.075;183.742.255
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;06/2016;242.884.037;138.012;1.076.655;1.707.142;2.893.965;1.190.932;50.772;80;7.057.559;755.179;10.318.323;10.729.846;10.673.144;2.703.059;638.303;11.277;35.829.131;622.034;2.607.367;4.086.549;9.246.905;3.468.442;978.446;1.883;21.011.625;75.038;539.580;653.305;1.386.675;703.373;1.430.928;304.705;5.093.604;19.121;575.803;868.384;210.042;220.808;95.953;0;1.990.110;1.435.323;12.429.163;9.581.184;9.068.175;2.486.042;243.148;3.389;35.246.424;279;3.805;2.967;5.055;3.480;1.534;0;17.120;361.337;2.543.430;3.559.907;4.482.336;1.467.280;1.819.749;249.182;14.483.222;772.496;7.177.213;7.654.585;9.113.185;3.263.723;3.611.862;265.136;31.858.201;1.441;78.479;90.217.123
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;06/2016;192.323.856;138.643;593.650;1.183.798;2.451.475;1.559.307;19.691;0;5.946.564;1.497.491;3.011.978;10.148.858;12.850.919;9.425.360;1.049.705;213.367;38.197.676;1.037.792;4.987.765;5.121.556;5.214.822;578.699;689.950;26.706;17.657.289;83.305;2.186.437;3.143.953;6.808.209;3.986.472;9.147.728;5.776.722;31.132.826;31.877;23.600;46.657;70.925;14.462;4.966;0;192.486;3.730.927;4.344.645;8.389.683;8.862.461;1.278.739;165.583;0;26.772.037;14.952;788.229;2.257.220;5.676.759;4.684.408;13.969.948;2.504.917;29.896.432;584.477;864.358;1.778.366;3.026.075;1.170.110;2.444.843;417.884;10.286.112;3.390.324;3.023.383;8.080.038;9.912.341;5.231.914;2.491.079;86.436;32.215.515;238;26.679;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;06/2016;122.088.995;151.285;409.296;899.907;1.324.916;813.572;45.559;22.618;3.667.153;828.511;11.128.292;7.961.848;7.414.760;1.918.701;712.748;212.146;30.177.007;213.371;1.566.594;4.189.219;3.439.503;203.057;424.073;163.503;10.199.320;4.091;1.002.097;274.672;452.383;678.856;292.612;685.201;3.389.911;3.736;816.757;1.860.745;86.480;54.271;2.855;26.036;2.850.881;961.540;9.351.132;7.016.410;4.591.109;1.044.942;307.142;126.901;23.399.176;21;1.022;1.316;113;19;0;0;2.490;134.110;1.172.347;1.405.832;2.226.566;601.050;461.720;1.177.558;7.179.183;410.457;5.404.428;7.326.054;5.127.661;1.751.478;3.239.591;30.797;23.290.465;376;36.688;17.896.344
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;06/2016;43.608.339;83.111;280.768;359.130;261.482;54.906;7.363;29;1.046.789;422.297;4.262.139;4.419.730;2.796.760;391.988;238.280;1.495;12.532.689;215.373;647.479;928.288;759.038;104.086;29.710;117;2.684.091;3.445;232.251;651.261;308.326;27.257;7.325;0;1.229.866;4.376;67.259;54.776;204.653;2.852;0;0;333.916;445.130;4.808.213;4.231.917;1.901.954;169.129;17.001;4.834;11.578.177;1;28;40;27;0;0;0;96;43.644;245.372;441.185;432.755;83.317;117.557;120;1.363.951;119.671;1.453.595;1.940.728;1.567.220;178.504;57.224;597;5.317.540;0;4.258;7.516.966
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;06/2016;37.681.874;7.468;220.993;388.289;249.604;128.095;10.837;0;1.005.286;127.308;2.415.259;3.328.915;2.211.532;1.218.842;423.668;0;9.725.525;38.666;336.662;745.043;741.250;123.338;22.326;0;2.007.285;456;66.655;115.985;258.591;119.833;90.252;0;651.773;1.712;24.691;256.120;41.358;28.944;29.604;0;382.429;166.700;3.081.337;2.742.237;1.780.098;322.912;37.225;0;8.130.509;1;3;11;14;0;0;0;29;60.747;494.387;839.736;929.143;271.767;154.328;0;2.750.109;41.265;2.030.904;1.942.494;1.102.582;231.694;60.334;0;5.409.274;44;1.834;7.617.777
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;06/2016;29.466.846;99.640;5.917;29.253;55.928;27.732;0;0;218.471;60.346;140.694;284.501;270.418;122.014;0;0;877.974;22.514;50.521;128.993;35.144;3.256;1.728;0;242.157;374.769;76.974;3.881;44.811;92.445;685.494;1.544.724;2.823.097;0;1.261;0;0;0;0;0;1.261;0;37.757;24.572;32.485;37.864;1.267;0;133.945;0;0;0;0;0;0;0;0;0;14.572;142.111;154.027;93.132;43.757;0;447.598;5.387;148.872;854.557;449.635;121.447;559.696;0;2.139.595;0;0;22.582.747
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;06/2016;14.159.187;2.013;61.733;130.439;287.969;205.186;0;0;687.339;62.680;3.338.897;2.354.264;991.861;257.326;106.973;0;7.112.002;5.560;8.710;113.795;124.647;6.199;0;0;258.911;2;62;216.379;18.952;18.162;38.502;0;292.059;0;457.702;36.338;0;0;0;0;494.040;29.589;951.276;2.744.244;175.414;22.153;258;0;3.922.935;0;0;0;0;0;0;0;0;1.784;67.625;44.986;63.565;0;0;0;177.960;1.340;831.210;224.770;98.068;2.991;0;0;1.158.379;55.492;70;0
