Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;;;;;;;;Indústrias de Transformação;;;;;;;;Construção;;;;;;;;Serviços Industriais de Utilidade Pública;;;;;;;;Industrias Extrativas;;;;;;;;Comércio, Reparação de Veículos Automotores e Motocicletas;;;;;;;;Admistração Pública, Defesa e Seguridade Social;;;;;;;;Transporte, Armazenagem e Correio;;;;;;;;Outros;;;;;;;;Atividade não Informada ou não se Aplica;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2019;365.110.395;19.346;445.540;1.597.318;854.158;495.691;237.192;0;3.649.246;458.645;14.668.572;12.204.598;8.160.166;1.704.976;303.346;25;37.500.328;258.889;1.474.549;1.627.032;1.953.597;498.069;222.145;10;6.034.291;4.704;608.977;593.310;1.039.778;431.630;939.474;289.867;3.907.740;347;244.698;644.717;145.626;19.275;23;0;1.054.686;789.183;14.661.437;13.724.723;7.943.661;1.216.743;79.314;866;38.415.926;5;3.970;17.483;121.765;122.052;316.388;101.507;683.170;93.739;2.252.703;2.805.407;4.230.042;4.265.806;2.690.937;0;16.338.633;562.152;9.623.542;6.985.899;8.999.980;2.907.865;1.217.063;0;30.296.500;64;1.760;227.228.050
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;12/2019;323.086.715;4.460;6.774;96.690;8.712;0;0;0;116.636;25.897;463.041;315.245;122.402;2.759;5.749;0;935.093;20.729;53.422;19.727;46.626;0;0;0;140.504;0;7.727;166.484;39.792;0;0;0;214.003;0;157.628;2.797;0;0;0;0;160.425;95.862;333.105;440.648;33.393;0;0;0;903.007;0;0;0;0;0;0;0;0;0;109.098;34.824;20.761;0;0;0;164.683;45;69.797;81.875;191.557;52.735;0;0;396.009;0;300.005.679;20.050.676
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2019;287.170.728;253.087;721.703;1.189.912;896.915;190.855;45.885;29;3.298.386;366.115;14.517.316;21.500.574;8.667.476;5.069.401;6.352.051;618.838;57.091.772;374.718;1.946.002;2.633.056;4.601.554;1.587.743;283.463;217.413;11.643.949;10.056;249.541;448.129;941.718;332.848;1.285.767;243.783;3.511.843;6.405;1.051.205;202.997;145.013;47.975;1.052;0;1.454.648;1.061.476;23.412.245;15.446.008;9.927.011;2.422.029;492.460;1.995;52.763.224;208;4.622;4.282;4.732;754;37;0;14.635;155.222;3.781.681;3.710.362;6.113.125;2.640.376;2.136.086;480;18.537.333;1.138.928;8.017.561;10.409.299;11.854.406;3.672.176;4.435.872;55.949;39.584.191;244;1.080;99.269.425
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2019;261.077.245;2.166;26.656;103.804;286.814;123.237;35.008;0;577.685;42.180;1.321.081;3.752.015;8.228.170;4.003.998;7.250.016;205.526;24.802.986;0;31.377;72.095;221.123;129.211;165.011;40.819;659.636;0;2.077.699;5.685.961;14.931.469;13.302.388;53.690.391;18.423.644;108.111.553;0;268.495;742.899;1.643.897;569.213;1.256.477;0;4.480.981;0;179.824;1.782.389;590.663;266.635;268.922;0;3.088.434;38.774;1.020.557;3.040.943;7.914.073;6.742.899;19.413.176;7.249.844;45.420.266;20.603;1.842.343;3.259.391;8.969.142;7.167.226;21.892.998;4.377.628;47.529.331;502.262;664.612;2.110.064;3.781.027;2.029.734;8.699.435;135.335;17.922.468;8.483.905;0;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2019;246.652.278;81.234;507.537;1.449.842;1.039.053;517.978;330.676;4.888;3.931.208;1.092.934;9.163.614;17.125.565;16.233.598;12.580.788;7.120.555;288.529;63.605.582;736.920;1.206.629;2.176.336;2.768.017;761.017;383.469;129.781;8.162.169;2.769;302.557;889.310;1.685.170;880.885;3.526.546;1.824.986;9.112.222;4.455;125.079;211.089;590.123;634.181;134.525;4.322;1.703.773;950.501;11.068.187;17.573.731;11.272.273;3.407.061;3.151.805;487.979;47.911.538;291;665.709;2.759.667;6.959.543;7.087.267;26.014.715;1.124.947;44.612.139;439.934;1.141.752;1.761.397;2.584.451;1.068.171;3.816.373;2.287.157;13.099.235;505.545;3.778.678;5.384.284;8.343.794;2.253.407;3.353.453;312.250;23.931.410;0;319;30.582.683
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;12/2019;188.630.476;0;0;40.851;0;0;0;0;40.851;0;906.044;325.130;10.190;1.947;0;0;1.243.310;0;0;0;0;0;0;0;0;0;4.196;0;0;0;0;0;4.196;0;0;0;0;0;0;0;0;0;327.956;139.379;44.910;0;0;0;512.245;0;0;0;0;0;0;0;0;0;5.240;1.187;0;0;0;0;6.427;0;47.359;80.176;87.889;3.665;0;0;219.089;0;186.604.357;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;12/2019;153.372.553;0;0;0;0;0;0;0;0;0;267.741;680.603;169.030;0;0;0;1.117.374;0;0;0;0;0;0;0;0;0;0;88.488;0;0;0;0;88.488;0;0;0;0;0;0;0;0;0;160.925;62.048;0;0;0;0;222.973;0;0;0;0;0;0;0;0;0;0;0;0;11.722;7.248;0;18.969;0;13.998;28.487;0;0;0;0;42.484;0;147.168.333;4.713.931
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2019;145.684.729;10.912;308.158;678.632;488.102;259.782;43.679;193;1.789.459;329.853;15.774.095;11.591.708;3.842.538;1.108.449;248.479;348.405;33.243.526;260.332;817.246;1.204.150;1.183.775;335.127;312.939;2.109;4.115.679;1.908;226.488;144.068;602.560;75.021;387.181;649.608;2.086.834;1.337;775.795;2.522.310;53.961;8.784;12.923;0;3.375.110;794.377;12.534.596;11.465.860;4.986.943;886.622;257.146;148.539;31.074.082;42;46.613;182.600;162.177;165.583;465.040;0;1.022.054;68.185;1.126.277;1.236.059;1.817.374;2.402.137;3.135.443;85.523;9.870.998;490.496;6.946.292;8.100.629;6.356.700;2.084.722;1.189.120;6.267;25.174.226;28;1.919;33.930.813
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2019;138.195.333;25.246;61.766;297.150;81.798;21.104;1.839;3;488.906;531.369;2.775.732;3.061.475;4.347.729;1.146.238;763.957;76.817;12.703.317;780.948;1.630.294;3.471.059;4.287.448;408.558;192.388;8.213;10.778.908;15.374;1.466.784;2.872.150;5.722.615;3.827.252;12.693.305;5.594.963;32.192.443;18.467;40.794;36.576;28.698;9.879;666;0;135.081;1.109.810;2.176.015;6.167.469;4.164.197;883.081;103.272;1.168;14.605.012;1.357;1.313.605;3.484.248;8.872.909;7.748.566;19.807.983;1.743.831;42.972.499;479.313;2.358.629;983.015;2.073.432;1.216.993;1.209.625;116.920;8.437.927;834.516;1.780.553;5.355.587;5.715.117;1.359.607;823.884;11.809;15.881.074;0;166;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2019;51.882.454;2.900;187.828;423.876;314.408;65.218;12.053;0;1.006.283;36.265;4.594.551;3.554.451;2.418.857;962.189;1.951.335;0;13.517.648;11.062;425.203;522.950;897.137;73.752;9.534;0;1.939.638;53;147.598;460.377;657.298;133.406;30.433;0;1.429.163;22;59.779;26.924;50.269;9.573;19;0;146.587;63.324;5.060.822;5.958.584;2.745.943;676.062;500.309;0;15.005.043;0;4;10;18;0;0;0;31;4.210;369.365;666.297;839.803;306.125;55.733;0;2.241.532;26.196;2.583.568;2.684.289;2.382.353;513.384;120.683;0;8.310.473;32;403;8.285.623
