Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;;;;;;;;Indústrias de Transformação;;;;;;;;Construção;;;;;;;;Serviços Industriais de Utilidade Pública;;;;;;;;Industrias Extrativas;;;;;;;;Comércio, Reparação de Veículos Automotores e Motocicletas;;;;;;;;Admistração Pública, Defesa e Seguridade Social;;;;;;;;Transporte, Armazenagem e Correio;;;;;;;;Outros;;;;;;;;Atividade não Informada ou não se Aplica;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;;;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2016;390.812.437;58.703;1.088.817;1.467.136;984.228;5.769.011;689.485;10.690;10.068.071;1.700.745;17.458.426;22.120.495;24.536.783;25.163.044;12.911.896;688.480;104.579.870;421.093;2.214.842;5.242.732;9.073.900;2.427.409;1.337.297;31.637;20.748.910;276.276;1.739.666;2.615.937;5.282.082;2.119.264;1.892.765;3.893.082;17.819.072;11.757;976.633;1.945.216;3.698.721;1.613.710;3.980.607;1.042;12.227.686;2.251.176;15.438.657;24.501.150;18.487.849;9.959.723;5.010.989;307.839;75.957.384;597;703.808;571.063;3.613.226;4.879.296;23.193.985;5.809.673;38.771.650;294.873;1.564.953;3.205.272;4.193.325;1.758.280;3.857.161;3.677.281;18.551.146;525.860;6.764.304;9.593.910;14.096.371;5.050.239;3.972.911;576.911;40.580.507;409;25.600;51.482.134
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2016;378.369.847;21.148;203.831;680.115;2.146.023;1.766.101;379.854;12.876;5.209.949;499.263;3.643.685;10.827.505;24.735.156;17.330.742;28.013.790;240.677;85.290.819;0;536.235;122.133;299.017;188.909;218.142;0;1.364.436;0;1.754.197;5.087.765;13.322.715;11.375.788;37.294.965;14.812.865;83.648.295;0;645.339;2.105.980;6.210.920;4.657.986;4.980.799;0;18.601.024;6.160;323.685;937.455;1.830.099;1.246.617;453.687;0;4.797.704;14.016;1.003.704;2.836.107;8.059.301;7.146.626;21.826.946;7.681.973;48.568.674;1.127.802;4.528.955;6.486.504;10.516.777;9.826.056;29.616.080;3.566.517;65.668.691;66.331;2.022.093;4.697.885;11.339.961;7.431.719;8.370.794;324.388;34.253.170;30.967.084;0;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2016;292.563.355;44.905;1.084.031;1.786.295;2.588.313;1.577.335;134.813;0;7.215.692;879.780;13.318.566;14.695.931;14.056.252;5.257.820;1.885.731;135;50.094.216;421.859;2.309.265;4.064.376;4.634.538;483.280;420.413;329;12.334.059;25.570;899.154;680.171;1.583.044;1.089.348;1.652.102;364.154;6.293.544;59.787;374.977;485.067;238.652;93.710;370.591;0;1.622.784;1.332.444;11.941.483;9.017.487;7.375.513;1.085.460;325.293;0;31.077.680;647;1.937;485;915;52;0;0;4.036;297.314;2.198.264;3.074.596;4.646.210;1.349.773;685.968;20.119;12.272.243;519.498;9.696.284;6.981.401;6.550.348;1.881.730;1.859.522;7.809;27.496.591;239.980;64.386;143.848.144
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2016;263.385.138;88.006;996.885;1.748.595;2.939.623;1.284.770;53.076;182;7.111.137;791.400;10.840.718;10.401.143;11.433.132;2.884.643;678.579;825;37.030.439;373.867;2.593.165;4.208.006;9.601.436;3.424.905;990.939;108;21.192.426;74.701;506.757;657.017;1.390.473;721.378;1.424.402;322.399;5.097.127;18.153;497.860;1.061.194;507.162;151.352;202.311;0;2.438.032;1.532.988;13.133.496;10.493.725;8.762.674;3.545.930;288.935;3.920;37.761.669;437;3.348;2.346;1.760;141;0;0;8.032;376.414;2.710.868;3.762.345;4.828.263;1.576.325;1.851.932;267.263;15.373.410;766.179;7.179.571;7.233.075;8.440.687;2.942.866;3.705.348;265.937;30.533.664;1.552;79.417;106.758.235
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2016;193.015.319;157.120;558.639;1.364.546;2.448.680;1.573.675;22.724;0;6.125.384;1.751.965;4.307.770;10.074.460;12.592.906;7.043.448;4.066.296;220.422;40.057.266;1.178.156;5.015.138;5.260.935;5.024.211;646.780;655.282;27.537;17.808.040;68.813;2.192.638;2.789.908;5.431.471;3.892.285;8.741.528;5.632.616;28.749.260;47.206;26.480;45.758;66.224;15.218;5.319;0;206.205;4.055.966;4.761.781;8.806.693;8.373.225;1.537.859;175.465;0;27.710.989;10.094;744.389;2.183.788;5.463.169;4.634.422;13.540.890;2.513.515;29.090.268;765.897;1.059.848;1.729.232;2.937.683;1.330.122;2.295.041;351.515;10.469.338;1.972.356;5.348.047;7.355.170;9.843.319;5.516.000;2.647.530;88.385;32.770.807;391;27.372;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2016;123.990.020;78.330;491.257;824.907;1.309.884;876.388;53.582;2.550;3.636.897;810.534;10.827.800;7.285.053;7.190.541;2.015.581;583.999;187.692;28.901.200;279.481;1.530.699;4.138.562;3.591.054;166.249;431.038;84.143;10.221.227;9.498;633.165;541.109;376.578;767.667;263.424;635.225;3.226.665;18.002;959.068;1.844.247;111.444;61.825;3.194;12.768;3.010.549;1.002.234;9.309.658;6.526.780;4.320.214;1.216.812;312.249;101.322;22.789.269;15;1.472;2.554;1.275;24;0;0;5.339;187.667;1.158.983;1.554.206;2.080.851;642.168;418.818;1.144.181;7.186.873;424.315;5.485.183;6.388.571;6.929.306;1.657.683;3.337.521;24.238;24.246.816;380;36.050;20.728.753
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2016;44.830.192;90.125;218.537;379.093;180.602;35.428;8.828;48;912.660;551.269;5.103.697;4.102.450;2.526.569;355.512;107.174;1.575;12.748.247;202.032;672.917;934.626;653.500;88.261;8.353;30;2.559.720;4.796;263.777;517.146;367.571;12.347;7.227;0;1.172.865;2.129;118.584;336.175;202.437;3.409;0;18;662.752;434.817;4.078.985;3.993.095;2.397.105;158.829;21.486;2.133;11.086.451;0;19;40;18;0;0;0;77;60.714;239.496;637.861;499.645;105.276;125.868;38;1.668.898;62.695;1.918.921;1.625.015;1.541.697;209.003;56.871;163;5.414.365;0;4.215;8.599.942
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2016;37.951.822;24.239;242.891;347.231;304.705;128.713;25.020;0;1.072.799;264.639;2.962.901;2.197.509;2.154.841;1.252.582;510.719;0;9.343.191;46.274;382.310;620.163;868.926;142.306;24.786;0;2.084.765;3.490;69.067;132.779;266.222;116.259;103.256;0;691.074;1.634;16.599;146.253;138.630;29.383;33.020;0;365.519;220.561;2.762.584;2.605.830;1.748.111;217.984;40.686;0;7.595.755;1;5;11;17;0;0;0;34;76.107;517.513;899.980;1.125.240;285.950;146.900;0;3.051.690;34.197;1.689.485;1.661.974;1.173.576;207.538;64.288;0;4.831.058;252;1.509;8.914.175
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;03/2016;37.880.631;47.813;35.211;60.709;126.007;39.195;1.723;0;310.658;204.336;66.228;249.002;318.741;78.722;40.400;0;957.430;55.423;51.559;151.625;34.379;3.655;1.900;0;298.540;374.769;76.638;2.389;38.408;84.327;652.867;1.526.949;2.756.347;0;0;1.211;0;0;0;0;1.211;13.382;28.322;21.542;38.493;29.651;22.152;0;153.542;0;0;0;0;0;0;0;0;77.541;42.364;29.003;162.725;132.953;47.860;0;492.446;99.619;241.464;850.937;656.547;200.537;580.654;0;2.629.759;0;0;30.280.698
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2016;15.458.360;21.628;103.554;107.468;165.582;29.296;7.249;0;434.776;85.779;829.302;1.011.350;1.509.518;1.589.857;249.946;0;5.275.751;10.974;422.287;155.840;272.271;26.105;3.989;0;891.466;611;18.899;52.729;108.659;93.096;257.810;0;531.804;23.278;1.448;97.971;13.674;23.088;23.049;0;182.508;27.381;856.370;647.760;423.087;194.667;6.201;0;2.155.466;0;1.024;61;49;0;0;0;1.134;16.394;121.526;340.442;650.987;312.119;339.319;0;1.780.787;5.299;216.402;417.606;664.123;300.664;243.984;0;1.848.079;10;255;2.356.323
